,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-23 22:17:12.899760
11,"""BTC"" ",-0.01119944,"""dYdX BTC ",2022-05-23 22:17:12.899760
13,"""BTC"" ",-0.0072,"""FTX BTC ",2022-05-23 22:17:12.899760
15,"""BTC"" ",0.0043,"""BitMEX BTC ",2022-05-23 22:17:12.899760
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-23 22:17:12.899760
20,"""ETH"" ",0.01900792,"""dYdX ETH ",2022-05-23 22:17:12.899760
22,"""ETH"" ",-0.0016,"""FTX ETH ",2022-05-23 22:17:12.899760
24,"""ETH"" ",0.0788,"""BitMEX ETH ",2022-05-23 22:17:12.899760
27,"""XRP"" ",0.006868,"""Binance XRP ",2022-05-23 22:17:12.899760
30,"""XRP"" ",-0.0144,"""FTX XRP ",2022-05-23 22:17:12.899760
32,"""XRP"" ",0.0334,"""BitMEX XRP ",2022-05-23 22:17:12.899760
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-23 22:17:12.899760
37,"""BCH"" ",0.0067088,"""dYdX BCH ",2022-05-23 22:17:12.899760
39,"""BCH"" ",-0.0072,"""FTX BCH ",2022-05-23 22:17:12.899760
41,"""BCH"" ",0.0399,"""BitMEX BCH ",2022-05-23 22:17:12.899760
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-23 22:17:12.899760
46,"""COMP"" ",0.01023824,"""dYdX COMP ",2022-05-23 22:17:12.899760
48,"""COMP"" ",0.0072,"""FTX COMP ",2022-05-23 22:17:12.899760
52,"""KNC"" ",-0.019551,"""Binance KNC ",2022-05-23 22:17:12.899760
55,"""KNC"" ",-0.016,"""FTX KNC ",2022-05-23 22:17:12.899760
59,"""LINK"" ",0.01,"""Binance LINK ",2022-05-23 22:17:12.899760
61,"""LINK"" ",0.00731224,"""dYdX LINK ",2022-05-23 22:17:12.899760
63,"""LINK"" ",-0.008,"""FTX LINK ",2022-05-23 22:17:12.899760
65,"""LINK"" ",0.0174,"""BitMEX LINK ",2022-05-23 22:17:12.899760
68,"""XTZ"" ",0.008752,"""Binance XTZ ",2022-05-23 22:17:12.899760
70,"""XTZ"" ",0.0,"""dYdX XTZ ",2022-05-23 22:17:12.899760
72,"""XTZ"" ",-0.0128,"""FTX XTZ ",2022-05-23 22:17:12.899760
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-23 22:17:12.899760
79,"""BNB"" ",-0.0056,"""FTX BNB ",2022-05-23 22:17:12.899760
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-23 22:17:12.899760
84,"""LTC"" ",0.005301,"""Binance LTC ",2022-05-23 22:17:12.899760
86,"""LTC"" ",0.0032532,"""dYdX LTC ",2022-05-23 22:17:12.899760
88,"""LTC"" ",-0.0248,"""FTX LTC ",2022-05-23 22:17:12.899760
90,"""LTC"" ",0.0242,"""BitMEX LTC ",2022-05-23 22:17:12.899760
93,"""ETC"" ",0.001069,"""Binance ETC ",2022-05-23 22:17:12.899760
95,"""ETC"" ",0.01,"""dYdX ETC ",2022-05-23 22:17:12.899760
97,"""ETC"" ",-0.0144,"""FTX ETC ",2022-05-23 22:17:12.899760
101,"""EOS"" ",0.01,"""Binance EOS ",2022-05-23 22:17:12.899760
103,"""EOS"" ",0.00733616,"""dYdX EOS ",2022-05-23 22:17:12.899760
105,"""EOS"" ",-0.036,"""FTX EOS ",2022-05-23 22:17:12.899760
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-23 22:17:12.899760
110,"""DOGE"" ",0.01,"""Binance DOGE ",2022-05-23 22:17:12.899760
112,"""DOGE"" ",0.00571872,"""dYdX DOGE ",2022-05-23 22:17:12.899760
114,"""DOGE"" ",-0.0096,"""FTX DOGE ",2022-05-23 22:17:12.899760
116,"""DOGE"" ",0.0618,"""BitMEX DOGE ",2022-05-23 22:17:12.899760
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-23 22:17:12.899760
121,"""1INCH"" ",0.00302464,"""dYdX 1INCH ",2022-05-23 22:17:12.899760
123,"""1INCH"" ",-0.0312,"""FTX 1INCH ",2022-05-23 22:17:12.899760
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-23 22:17:12.899760
129,"""AAVE"" ",0.00713144,"""dYdX AAVE ",2022-05-23 22:17:12.899760
131,"""AAVE"" ",0.0144,"""FTX AAVE ",2022-05-23 22:17:12.899760
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-23 22:17:12.899760
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-23 22:17:12.899760
143,"""ADA"" ",0.0081888,"""dYdX ADA ",2022-05-23 22:17:12.899760
145,"""ADA"" ",-0.016,"""FTX ADA ",2022-05-23 22:17:12.899760
147,"""ADA"" ",0.0738,"""BitMEX ADA ",2022-05-23 22:17:12.899760
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-23 22:17:12.899760
158,"""AGLD"" ",-0.1032,"""FTX AGLD ",2022-05-23 22:17:12.899760
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-23 22:17:12.899760
170,"""ALCX"" ",-0.1704,"""FTX ALCX ",2022-05-23 22:17:12.899760
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-23 22:17:12.899760
176,"""ALGO"" ",0.01062984,"""dYdX ALGO ",2022-05-23 22:17:12.899760
178,"""ALGO"" ",-0.0248,"""FTX ALGO ",2022-05-23 22:17:12.899760
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-23 22:17:12.899760
185,"""ALICE"" ",-0.0432,"""FTX ALICE ",2022-05-23 22:17:12.899760
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-23 22:17:12.899760
192,"""ALPHA"" ",-0.0376,"""FTX ALPHA ",2022-05-23 22:17:12.899760
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-23 22:17:12.899760
205,"""ALTMEXTT"" ",1.5,"""BitMEX ALTMEXTT ",2022-05-23 22:17:12.899760
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-23 22:17:12.899760
216,"""ANC"" ",-3.2352,"""FTX ANC ",2022-05-23 22:17:12.899760
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-23 22:17:12.899760
228,"""APE"" ",-0.012,"""FTX APE ",2022-05-23 22:17:12.899760
230,"""APE"" ",0.01,"""BitMEX APE ",2022-05-23 22:17:12.899760
236,"""APET"" ",0.01,"""BitMEX APET ",2022-05-23 22:17:12.899760
241,"""AR"" ",-0.032,"""FTX AR ",2022-05-23 22:17:12.899760
247,"""ASD"" ",-0.0672,"""FTX ASD ",2022-05-23 22:17:12.899760
253,"""ATLAS"" ",-0.1568,"""FTX ATLAS ",2022-05-23 22:17:12.899760
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-23 22:17:12.899760
259,"""ATOM"" ",0.00304408,"""dYdX ATOM ",2022-05-23 22:17:12.899760
261,"""ATOM"" ",-0.0384,"""FTX ATOM ",2022-05-23 22:17:12.899760
267,"""AUDIO"" ",0.0064,"""FTX AUDIO ",2022-05-23 22:17:12.899760
271,"""AVAX"" ",0.173657,"""Binance AVAX ",2022-05-23 22:17:12.899760
273,"""AVAX"" ",-0.02537176,"""dYdX AVAX ",2022-05-23 22:17:12.899760
275,"""AVAX"" ",-0.024,"""FTX AVAX ",2022-05-23 22:17:12.899760
277,"""AVAX"" ",0.01,"""BitMEX AVAX ",2022-05-23 22:17:12.899760
283,"""AVAXT"" ",0.01,"""BitMEX AVAXT ",2022-05-23 22:17:12.899760
286,"""AXS"" ",0.15546,"""Binance AXS ",2022-05-23 22:17:12.899760
289,"""AXS"" ",-0.0888,"""FTX AXS ",2022-05-23 22:17:12.899760
291,"""AXS"" ",0.01,"""BitMEX AXS ",2022-05-23 22:17:12.899760
297,"""AXST"" ",-0.0294,"""BitMEX AXST ",2022-05-23 22:17:12.899760
302,"""BADGE"" ",0.0144,"""FTX BADGE ",2022-05-23 22:17:12.899760
308,"""BADGER"" ",-0.1648,"""FTX BADGER ",2022-05-23 22:17:12.899760
314,"""BAO"" ",-0.1848,"""FTX BAO ",2022-05-23 22:17:12.899760
318,"""BAT"" ",-0.012184,"""Binance BAT ",2022-05-23 22:17:12.899760
321,"""BAT"" ",-0.02,"""FTX BAT ",2022-05-23 22:17:12.899760
328,"""BCHT"" ",0.01,"""BitMEX BCHT ",2022-05-23 22:17:12.899760
331,"""BEL"" ",0.008452,"""Binance BEL ",2022-05-23 22:17:12.899760
339,"""BIT"" ",-0.0216,"""FTX BIT ",2022-05-23 22:17:12.899760
343,"""BLZ"" ",-0.006982,"""Binance BLZ ",2022-05-23 22:17:12.899760
349,"""BNBBU"" ",0.01,"""Binance BNBBU ",2022-05-23 22:17:12.899760
358,"""BNBT"" ",0.01,"""BitMEX BNBT ",2022-05-23 22:17:12.899760
361,"""BNT"" ",0.01,"""Binance BNT ",2022-05-23 22:17:12.899760
364,"""BNT"" ",-0.0808,"""FTX BNT ",2022-05-23 22:17:12.899760
370,"""BOBA"" ",0.008,"""FTX BOBA ",2022-05-23 22:17:12.899760
376,"""BSV"" ",-0.0688,"""FTX BSV ",2022-05-23 22:17:12.899760
380,"""BTCBU"" ",-0.008024,"""Binance BTCBU ",2022-05-23 22:17:12.899760
386,"""BTCDO"" ",0.01,"""Binance BTCDO ",2022-05-23 22:17:12.899760
392,"""BTCST"" ",0.01,"""Binance BTCST ",2022-05-23 22:17:12.899760
398,"""BTS"" ",0.075661,"""Binance BTS ",2022-05-23 22:17:12.899760
